Number of exposures	Defocus list	ClusteringMode	ClusteringRadius	DoseFractionsOutputFormat	Name	PhasePlateEnabled	HoleSize	HoleSpacing	SpecimenCarrierType	StartDateTime	Autofocus recurrence	Autofocus distance	Drift recurrence	Drift threshold	DelayAfterImageShift	DelayAfterStageShift	Detector	Binning	C2Aperture	ProbeMode	SpotSize	BeamSize	EnergySelectionSlitWidth	ObjAperture	GunLens	Voltage	ExtractorVoltage	MicroscopeID	PixelSpacing	EPUversion	Magnification	ExposureTime	Mode	NumSubFrames	PhasePlateUsed	Dose	DoseOnCamera	DosePerFrame
1	[-2.2, -2.0, -1.8, -1.6, -1.4, -1.2, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.4	2.51	Quantifoil R1.2/1.3	2022-12-31T16:58:36.0792357Z	AfterCentering	0	OncePerGridSquare	2E-10	1	5	EF-CCD	2	50	NanoProbe	4	1.05	20	UNKNOWN														
3	[-3.0, -2.75, -2.5, -2.25, -2.0, -1.75, -1.5, -1.25]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	2.22	3.94	Quantifoil R2/2	2023-01-04T15:28:13.0332445Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	4	1.15	20	UNKNOWN														
5	[-2.2, -1.8, -1.4, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.2	2.49	Quantifoil R1.2/1.3	2023-01-05T12:30:57.6867348Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	0.5	EF-CCD	2	50	NanoProbe	6	0.8	20	UNKNOWN														
5	[-2.2, -1.8, -1.4, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.53	2.54	Quantifoil R1.2/1.3	2023-01-06T10:32:33.0571706Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	0.5	EF-CCD	2	50	NanoProbe	6	0.8	20	UNKNOWN														
1	[-2.5]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.37	2.46	Quantifoil R1.2/1.3	2023-01-09T13:51:32.9794871Z	AfterCentering	0	UNKNOWN	UNKNOWN	0.5	0.5	EF-CCD	2	50	NanoProbe	4	1.05	20	UNKNOWN														
6	[-2.0, -1.4]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	2.19	3.96	Quantifoil R2/2	2023-01-10T12:32:00.2452996Z	AfterCentering	0	UNKNOWN	UNKNOWN	0.5	0.5	None	2	50	NanoProbe	4	1.05	20	UNKNOWN														
7	[-3.2, -2.9, -2.6, -2.3]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	2.19	3.96	Quantifoil R2/2	2023-01-12T10:42:46.0820176Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	0.5	EF-CCD	2	50	NanoProbe	4	1.05	20	UNKNOWN														
2	[-2.5, -2.3, -2.1, -1.9, -1.7, -1.5]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.42	2.6	Quantifoil R1.2/1.3	2023-01-13T14:22:45.3107676Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	4	1.15	20	UNKNOWN														
2	[-2.5, -2.3, -2.1, -1.9, -1.7, -1.5]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.52	2.56	Quantifoil R1.2/1.3	2023-01-14T09:28:58.3333595Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	4	1.15	20	UNKNOWN														
2	[-3.3, -3.1, -2.9, -2.7, -2.5, -2.3, -2.1, -1.9]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.52	2.56	Quantifoil R1.2/1.3	2023-01-15T07:19:54.5702389Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	4	1.15	20	UNKNOWN														
2	[-3.3, -3.1, -2.9, -2.7, -2.5, -2.3, -2.1, -1.9]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.52	2.56	Quantifoil R1.2/1.3	2023-01-15T23:38:37.4539957Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	4	1.15	20	UNKNOWN														
1	[-3.0, -2.8, -2.6, -2.4, -2.2, -2.0, -1.8, -1.6, -1.4]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.33	2.5	Quantifoil R1.2/1.3	2023-01-18T20:31:58.5508855Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	4	1.05	20	UNKNOWN														
4	[-2.2, -2.0, -1.8, -1.6, -1.4, -1.2]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.33	2.58	Quantifoil R1.2/1.3	2023-01-19T19:21:04.4133601Z	AfterCentering	0	UNKNOWN	UNKNOWN	0.5	5	EF-CCD	2	50	NanoProbe	4	1.05	20	UNKNOWN														
4	[-2.8, -2.4, -2.0, -1.6]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	2	4.08	Quantifoil R2/2	2023-01-20T14:11:16.3239795Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	5	1.05	20	UNKNOWN														
5	[-2.2, -1.8, -1.4, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.2	2.5	Quantifoil R1.2/1.3	2023-02-02T18:42:54.7144418Z	AfterCentering	0	OncePerGridSquare	2E-10	1.5	0.5	EF-CCD	2	50	NanoProbe	6	0.8	20	UNKNOWN														
5	[-2.2, -1.8, -1.4, -1.0]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.2	2.5	Quantifoil R1.2/1.3	2023-02-05T12:02:11.9216647Z	AfterCentering	0	OncePerGridSquare	2E-10	1.5	0.5	EF-CCD	2	50	NanoProbe	6	0.8	20	UNKNOWN														
2	[-1.5, -1.3, -1.1, -0.9, -0.7, -0.6, -0.5]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.1	2.49	Quantifoil R1.2/1.3	2023-02-08T16:08:53.1496385Z	AfterDistance	8	UNKNOWN	UNKNOWN	1.5	0.5	EF-CCD	2	50	NanoProbe	4	1.16	20	100 Au	4	300	4498	3299	0.731	2.12.0.2771	105000	1.13	Super-resolution	40	false	33.13	15.66	0.8282
2	[-3.0, -2.8, -2.6, -2.4, -2.2, -2.0, -1.8, -1.6, -1.4]	ClusteringWithImageBeamShift	6	Tiff Lzw Non-Gain normalized	confidential	false	1.23	3.51	Quantifoil R1.2/1.3	2023-02-09T18:10:03.9112996Z	AfterCentering	0	OncePerGridSquare	2E-10	0.5	5	EF-CCD	2	50	NanoProbe	4	1.05	20	None	4	300	4498	3299	0.731	2.12.0.2771	105000	1.43	Super-resolution	45	false	49.97	18.67	1.1105
